speaker_dir	gender_dir	client_id	n_clips	gender_source	decision	majority_count	avg_conf
f_1_1	female	005ce52c025b621f7942751c3dd418f0e7d1e9f55b54278d16c3b853e2a8af9771892aad1021e772b06805b5e487d89cc7a2ec86ae94d86dc936e12679eb9a87	10	self_reported	female		
f_1_2	female	00629ef5283de6396fb220d873d360b001eee93946c70473d949026bc9473a79275502f92d1000fedafed7fd5770c8cec6e425b53d3602ea2b49cb5dc5ff4fb0	10	self_reported	female		
f_1_3	female	0100a7d69bf3f61b13aae54d0b6cdf3f326ee78c843324aa13161c246cc16ffbd88eac50c277ad226ca63028311d23de533d913b9e542d1f37f4145f9b1d340a	10	self_reported	female		
f_1_4	female	0176d1d6a4ea11a0ca11d67d19db2e53735e4032616dfffe136a0490d2dc054a73193b5c18140e4dbb26d7270e8e7299e57f49d1e8b010c05acda6c079476f02	10	self_reported	female		
f_1_5	female	019b934834c8a795b50e3bb4535385efc69e4feed21fcb40dcda1cc6c5ad220f5315dc5b93b7db01e77b38a1d3b1ed0716b9e3ccaf55e501b3e9cfe31ff0f4a2	10	self_reported	female		
f_1_6	female	01a0900de8e7651760714c775acb981d25b5234eb463b74d205e6e2227f088a1af89058dacf56dce040b758ba4d2b1c162a8d0b5eee039e1f8329b0a5928dfdc	10	self_reported	female		
f_1_7	female	01a839a6705435e127b3ab7da1ad0f1a36dff421fe31d54a1a8311c7acb76aad419ea5d635ab7605730171a9d2168fbe88fbef78213d0a2f174d346358564b2f	10	self_reported	female		
f_1_8	female	01a91c346576fabe7e66bd45b5fcf0adf04221371b43e99292b1c5a2f4370a733e25fa3c6f73ed8f8a65cb4c6d32a37ee152222128c531765069ea6c762d0908	10	self_reported	female		
f_1_9	female	01a923085487529bef30ecc51bbc91ce1c325e02fe836624f8aee2377a645c67fedaa988c9245735b7b67f3135148893303aff3df956f4ce708c7489250eeb5a	10	self_reported	female		
f_1_10	female	01daa7b00685d4af892600ebc814d3522fdf814e94ac1a57f30fc6d9161e63349e4a405d6ccc5c5772bc65ff32233ade7e7c6d4b9d6166eb067395774231a69c	10	self_reported	female		
f_1_11	female	01daa9ba1d15609ff9b0706f905ab01593ae90c94e1b9898aea07c71593092a876f15a16d6242f7293585537aaaf56696ace111c6d768d1c4946851a150bf71a	10	self_reported	female		
f_1_12	female	01f865013c665c988b04d79ec240f5b759eafb23d9f7870d443f26438a8672f9b4404ce3c6af227f61ac865b74456f5d32ebde27fd681dc807d01e1c28ca7be8	10	self_reported	female		
f_1_13	female	0217f2a628372d3a3485809bf54a5e548de8dc94e26d270bb5ce0d75f2126318aa8e7e56a45fe67776a856a53bf1a4d2f5ca029207c108d43a7d6157eb21b185	10	self_reported	female		
f_1_14	female	027b9fbc16033ab7b7505247d25ea128ac403f9d1c44a97dbf18cfe74f79136cae7f7919d1135b8e7fd1106037dbf2eb87f85b822d34abab1afd8b4dc1919184	10	self_reported	female		
f_1_15	female	02a0c47555a29d08a1d5b5751e5f52a3dc2661f8b11cd564e0519c509ec81bba90e9d396e5d6ca6cacebbb30f3e7c18bbab57ef85d98597aeae197745baac57f	10	self_reported	female		
f_1_16	female	02a2e30e6234cedde92ce3ccc51ee74c0d0a9c5faf02e450b1451d2d23cd281725c31c8240491f680fc32b1ef9efb9dd72c222f498022196228364fd019580aa	10	self_reported	female		
